"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"1978-01-01",6.2,2,150,7.2,33000,0.13,0.035,21,144,48.4367511635558
"1978-02-01",6.5,3,45,7.3,14000,0.49,0.094,29,175,48.0107837050933
"1978-03-01",6.3,2,50,7,1.3e+07,0.65,0.08,26,134,42.1043614483453
"1978-04-01",6,2,100,7.3,14000,0.15,0.144,25,166,50.4282208287688
"1978-05-01",6.5,2,10,7,13000,0.4,0.074,22,103,50.4214846548322
"1978-06-01",3,8,20,6.5,2300000,0.27,0.405,19,134,31.1503312565893
"1978-07-01",2.8,7,15,6.4,46000,0.37,0.055,20,57,40.2357813410106
"1978-08-01",0.3,14,20,6.2,430000,0.19,0.132,21,127,23.7343658708634
"1978-09-01",3.86666666666667,14,20,7.1,1.1e+07,0.22,0.197,20,172,35.3178806512446
"1978-10-01",0.6,14,13,6.5,790000,0.84,0.214,26,150,25.1841993427749
"1978-11-01",4.8,5,110,7.1,21000,0.51,0.197,25,231,41.2337665652409
"1978-12-01",4.8,1,34,7.1,7900,0.46,0.054,27,141,49.4413163636026
"1979-01-03",6.4,5,150,6.5,490000,0.2,0.16,23,350,38.4528867636504
"1979-02-07",6,3,30,6.6,7900,0.27,0.086,29,124,48.654400839446
"1979-03-06",5.4,2,40,6.2,49000,0.2,0.018,27,143,43.5479269748298
"1979-04-03",6,2,20,6.2,11000,0.25,0.25,25,120,46.6312492401923
"1979-05-08",7.3,4,350,6.8,11000,0.2,0.339,20,1170,14.346388990639
"1979-06-07",5,3,15,6,13000,0.21,0.02,18,140,42.4162305626708
"1979-07-03",3.8,4,17,6.2,23000,1.18,0.958,18,137,29.4333212045194
"1979-08-01",4.1,4,22,5.3,330000,1.01,0.209,18,170,28.6500759845201
"1979-09-10",1,2,14,6.9,4900,0.48,0.136,19,136,33.5838427092722
"1979-10-02",2.3,4,20,6.8,220000,0.1,0.152,24,131,29.2399476343484
"1979-11-06",5.1,6,33,6.2,23000,1.26,0.228,22,169,42.6579373381916
"1979-12-04",5,6,30,6.8,9400,4.44,0.522,26,146,42.6958635441182
"1980-01-03",5.9,1,80,6.4,230000,0.1,0.184,26,169,42.9551646933734
"1980-02-05",6,3,55,6.9,49000,0.1,0.117,27,137,44.1103919642426
"1980-03-04",5.7,1,70,6.7,110000,0.1,0.098,26,154,44.0219010056862
"1980-04-08",6.8,2,90,6.9,1800000,0.22,0.244,24,220,42.6514984325514
"1980-05-07",6.8,3,16,6.8,79000,0.31,0.08,22,92,47.8023812753368
"1980-06-03",5.6,3,14,7.2,170000,0.23,0.095,21,105,39.3054154507949
"1980-07-03",5.7,2,50,7,330000,0.2,0.132,17,172,38.8956426674321
"1980-08-04",3.2,5,10,6.8,330000,0.52,0.049,21,171,31.4696084310299
"1980-09-01",3.3,3,12,6.3,79000,0.47,0.075,23,88,38.444088764904
"1980-10-01",0.3,4,20,6.8,490000,0.15,0.228,25,165,21.8288988261992
"1980-11-03",0.8,3,16,6.7,170000,0.14,0.162,25,92,27.5596528713167
"1980-12-02",4.1,8,210,6.7,13000,0.55,0.069,26,562,23.0407371938892
"1981-01-08",6.8,3,150,6.6,16000,0.1,0.02,27,298,50.4139959101234
"1981-02-02",5.5,2,40,6.9,33000,0.31,0.12,24,128,43.9541601036385
"1981-03-05",4.4,2,25,7.2,130000,0.2,0.107,26,123,37.8078648880042
"1981-04-02",5.2,2,90,7,230000,0.26,0.02,23,194,42.0738058377686
"1981-05-05",6.6,6,170,7,22000,0.41,0.02,23,434,29.6132625659475
"1981-06-03",1.2,4,12,6.8,23000,0.53,0.066,20,127,29.7986654425093
"1981-07-01",4.8,4,17,7,33000,0.44,0.072,19,118,39.3412558084553
"1981-08-03",2.4,3,12,7.1,33000,0.42,0.129,18,116,33.708506496915
"1981-09-01",7.3,4,10,7.3,50000,0.6,0.129,23,156,43.8416487553699
"1981-10-01",3.8,3,5,7.4,7000,1.29,0.095,23,157,43.5121192956365
"1981-11-03",5.7,5,150,7.1,2600,0.43,0.02,23,330,51.404504957306
"1981-12-03",5.4,4,200,7.3,49000,0.62,0.02,25,424,22.1974661480789
"1982-01-04",7.2,3,200,7,20000,0.25,0.02,22,476,25.4213944892984
